day,1 USD=
05-05-2022,77.5175
06-05-2022,77.5319
07-05-2022,77.5459
08-05-2022,77.6748
09-05-2022,77.63305
10-05-2022,77.6922
11-05-2022,77.6922
12-05-2022,77.54
13-05-2022,77.62835
14-05-2022,77.5731
15-05-2022,77.41545
16-05-2022,77.68105
17-05-2022,77.6145
18-05-2022,77.6145
19-05-2022,77.78015
20-05-2022,77.6455
21-05-2022,77.6425
22-05-2022,77.8214
23-05-2022,78.0829
24-05-2022,78.1435
25-05-2022,78.1435
26-05-2022,78.0884
27-05-2022,78.0153
28-05-2022,78.1174
29-05-2022,77.91195
30-05-2022,78.0179
31-05-2022,77.9515
01-06-2022,77.9515
02-06-2022,77.92785
03-06-2022,78.134
04-06-2022,78.233
05-06-2022,78.1605
06-06-2022,78.25675
07-06-2022,78.2525
08-06-2022,78.2525
09-06-2022,78.44765
10-06-2022,79.00335
11-06-2022,78.9234
12-06-2022,78.96205
